Subject,Chapter,Section,Video,Duration,16:36:49
Microbiology,Fundamentals,1,Bacterial Structure,0:12:30,
Microbiology,Fundamentals,2,Virulence,0:25:54,
Microbiology,Fundamentals,3,Bacterial Genetics,0:20:27,
Microbiology,Fundamentals,4,Prion Diseases,0:07:29,
Microbiology,Fundamentals,5,Introduction to Fungi,0:04:49,
Microbiology,Fundamentals,6,Viral Structures,0:07:48,
Microbiology,Fundamentals,7,Viral Genetics,0:09:38,
Microbiology,Fundamentals,8,Viral Genomes and Replication,0:13:41,
Microbiology,Bacteria,1,Clostridium Tetani,0:08:06,
Microbiology,Bacteria,2,Clostridium Botulinum,0:07:20,
Microbiology,Bacteria,3,Clostridium Difficile,0:08:44,
Microbiology,Bacteria,4,Clostridium Perfringens,0:05:44,
Microbiology,Bacteria,5,Bacillus Anthracis,0:07:51,
Microbiology,Bacteria,6,Bacillus Cereus,0:03:11,
Microbiology,Bacteria,7,Listeria Monocytogenes,0:09:14,
Microbiology,Bacteria,8,Corynebacterium Diphtheriae,0:07:26,
Microbiology,Bacteria,9,Viridans Streptococci,0:08:24,
Microbiology,Bacteria,10,Streptococcus Pneumoniae,0:07:16,
Microbiology,Bacteria,11,Streptococcus Pyogenes,0:11:48,
Microbiology,Bacteria,12,Streptococcus Agalactiae,0:06:12,
Microbiology,Bacteria,13,Streptococcus Gallolyticus,0:03:19,
Microbiology,Bacteria,14,Enterococci,0:05:29,
Microbiology,Bacteria,15,Staphylococcus Aureus,0:10:32,
Microbiology,Bacteria,16,Staphylococcus Epidermidis,0:04:24,
Microbiology,Bacteria,17,Staphylococcus Saprophyticus,0:04:37,
Microbiology,Bacteria,18,Nocardia Asteroides,0:05:00,
Microbiology,Bacteria,19,Actinomyces Israelii,0:04:40,
Microbiology,Bacteria,20,Neisseria Overview,0:08:01,
Microbiology,Bacteria,21,Neisseria Meningitidis,0:07:03,
Microbiology,Bacteria,22,Neisseria Gonorrhoeae,0:06:11,
Microbiology,Bacteria,23,Moraxella Catarrhalis,0:03:20,
Microbiology,Bacteria,24,Haemophilus Influenzae,0:12:50,
Microbiology,Bacteria,25,Bordetella Pertussis,0:08:32,
Microbiology,Bacteria,26,"Pasteurella Multocida, Brucella Species, and Francisella Tularensis",0:08:51,
Microbiology,Bacteria,27,Salmonella Species,0:11:01,
Microbiology,Bacteria,28,Salmonella Typhi,0:06:15,
Microbiology,Bacteria,29,Shigella,0:11:09,
Microbiology,Bacteria,30,E. Coli,0:19:47,
Microbiology,Bacteria,31,Klebsiella,0:05:38,
Microbiology,Bacteria,32,Proteus Mirabilis,0:04:19,
Microbiology,Bacteria,33,Pseudomonas Aeruginosa,0:12:34,
Microbiology,Bacteria,34,Yersinia Pestis and Yersinia Enterocolitica,0:05:04,
Microbiology,Bacteria,35,"Enterobacter, Citrobacter, and Serratia Marcescens",0:05:30,
Microbiology,Bacteria,36,Bartonella Henselae,0:04:16,
Microbiology,Bacteria,37,Legionella Pneumophila,0:06:19,
Microbiology,Bacteria,38,Campylobacter Jejuni,0:04:53,
Microbiology,Bacteria,39,Vibrio Cholerae,0:06:08,
Microbiology,Bacteria,40,Helicobacter Pylori,0:06:33,
Microbiology,Bacteria,41,Mycobacterium Tuberculosis,0:16:24,
Microbiology,Bacteria,42,Mycobacterium Leprae,0:09:08,
Microbiology,Bacteria,43,"Mycobacterium avium-intracellulare, Mycobacterium scrofulaceum, and Mycobacterium marinum",0:04:26,
Microbiology,Bacteria,44,Borrelia Burgdorferi,0:06:37,
Microbiology,Bacteria,45,Leptospira Interrogans,0:03:22,
Microbiology,Bacteria,46,Treponema Pallidum,0:15:33,
Microbiology,Bacteria,47,"Chlamydia Trachomatis, Chlamydophila Pneumoniae, and Chlamydophila Psittaci",0:11:11,
Microbiology,Bacteria,48,Coxiella Burnetii,0:04:24,
Microbiology,Bacteria,49,Gardnerella Vaginalis,0:04:07,
Microbiology,Bacteria,50,Mycoplasma Pneumoniae,0:05:45,
Microbiology,Bacteria,51,"Rickettsia Prowazekii, Rickettsia Rickettsii, and Rickettsia Typhi",0:11:02,
Microbiology,Bacteria,52,Ehrlichia and Anaplasma,0:03:51,
Microbiology,Bacteria,53,Miscellaneous Organisms,0:18:21,
Microbiology,Fungi,1,Histoplasma Capsulatum,0:05:06,
Microbiology,Fungi,2,Blastomyces Dermatitidis,0:04:41,
Microbiology,Fungi,3,Coccidioides Immitis,0:05:10,
Microbiology,Fungi,4,Paracoccidioides Brasiliensis,0:03:14,
Microbiology,Fungi,5,"Microsporum, Trichophyton, and Epidermophyton",0:07:39,
Microbiology,Fungi,6,Malassezia Furfur,0:03:56,
Microbiology,Fungi,7,Sporothrix Schenckii,0:05:02,
Microbiology,Fungi,8,Candida Albicans,0:10:57,
Microbiology,Fungi,9,Aspergillus Fumigatus,0:08:45,
Microbiology,Fungi,10,Cryptococcus Neoformans,0:06:10,
Microbiology,Fungi,11,Mucor and Rhizopus Species,0:05:56,
Microbiology,Fungi,12,Pneumocystis Jirovecii,0:05:32,
Microbiology,Parasites,1,Giardia Lamblia,0:04:32,
Microbiology,Parasites,2,Entamoeba Histolytica,0:05:52,
Microbiology,Parasites,3,Cryptosporidium Spp.,0:05:25,
Microbiology,Parasites,4,Toxoplasma Gondii,0:07:17,
Microbiology,Parasites,5,Naegleria Fowleri,0:02:46,
Microbiology,Parasites,6,Trypanosoma Brucei,0:05:58,
Microbiology,Parasites,7,"Plasmodium Vivax/Ovale, Falciparum, and Malariae",0:15:24,
Microbiology,Parasites,8,Babesia and Anaplasma,0:06:02,
Microbiology,Parasites,9,Trypanosoma cruzi,0:06:24,
Microbiology,Parasites,10,Leishmania Donovani,0:04:42,
Microbiology,Parasites,11,Trichomonas Vaginalis,0:04:02,
Microbiology,Parasites,12,Enterobius Vermicularis (Pinworm),0:03:23,
Microbiology,Parasites,13,Ascaris Lumbricoides (Giant Roundworm),0:06:16,
Microbiology,Parasites,14,Strongyloides Stercoralis (Threadworm),0:04:22,
Microbiology,Parasites,15,Ancylostoma Duodenale and Necator Americanus (Hookworms),0:04:18,
Microbiology,Parasites,16,Trichinella Spiralis,0:03:30,
Microbiology,Parasites,17,Trichuris Trichiura (Whipworm),0:01:56,
Microbiology,Parasites,18,Toxocara Canis,0:03:44,
Microbiology,Parasites,19,Onchocerca Volvulus,0:02:53,
Microbiology,Parasites,20,Loa Loa and Wuchereria Bancrofti,0:03:51,
Microbiology,Parasites,21,Taenia Solium,0:08:02,
Microbiology,Parasites,22,Diphyllobothrium Latum,0:01:48,
Microbiology,Parasites,23,Echinococcus Granulosus,0:06:40,
Microbiology,Parasites,24,Schistosoma Spp.,0:08:49,
Microbiology,Parasites,25,Clonorchis Sinensis,0:02:29,
Microbiology,Parasites,26,Sarcoptes Scabiei,0:03:25,
Microbiology,Parasites,27,Pediculus Humanus/Phthirus Pubis,0:07:06,
Microbiology,Viruses,1,Herpes Simplex Virus-1 (HSV-1) and Herpes Simplex Virus-2 (HSV-2),0:11:28,
Microbiology,Viruses,2,Varicella-Zoster Virus (VZV),0:06:33,
Microbiology,Viruses,3,Epstein-Barr Virus (EBV),0:10:27,
Microbiology,Viruses,4,Cytomegalovirus (CMV),0:07:18,
Microbiology,Viruses,5,Roseola (HHV-6),0:03:26,
Microbiology,Viruses,6,Kaposi Sarcoma (HHV-8),0:02:57,
Microbiology,Viruses,7,Hepatitis B Virus,0:21:50,
Microbiology,Viruses,8,"Smallpox, Cowpox, and Molluscum Contagiosum",0:04:15,
Microbiology,Viruses,9,Human Papillomavirus,0:07:27,
Microbiology,Viruses,10,Adenovirus,0:03:39,
Microbiology,Viruses,11,JC Virus and BK Virus,0:04:56,
Microbiology,Viruses,12,Parvovirus B19,0:04:40,
Microbiology,Viruses,13,Coronavirus and SARS,0:02:11,
Microbiology,Viruses,14,Human Immunodeficiency Virus (HIV),0:24:06,
Microbiology,Viruses,15,Human T-lymphotropic Virus (HTLV),0:04:22,
Microbiology,Viruses,16,Hepatitis C Virus,0:10:51,
Microbiology,Viruses,17,Yellow Fever Virus,0:05:16,
Microbiology,Viruses,18,Dengue Fever,0:06:03,
Microbiology,Viruses,19,West Nile Virus and St. Louis Encephalitis,0:02:43,
Microbiology,Viruses,20,Zika Virus,0:05:40,
Microbiology,Viruses,21,Rubella,0:04:48,
Microbiology,Viruses,22,"Eastern, Western, and Venezuelan Equine Encephalitis Viruses; Chikungunya Virus",0:03:33,
Microbiology,Viruses,23,California Encephalitis,0:02:36,
Microbiology,Viruses,24,Rift Valley Fever and Crimean-Congo Hemorrhagic Fever Virus,0:03:35,
Microbiology,Viruses,25,Hantavirus,0:02:14,
Microbiology,Viruses,26,Influenza Virus,0:10:40,
Microbiology,Viruses,27,Lassa Fever Encephalitis and Lymphocytic Choriomeningitis Virus,0:02:41,
Microbiology,Viruses,28,Hepatitis D Virus,0:04:39,
Microbiology,Viruses,29,Parainfluenza Virus,0:04:53,
Microbiology,Viruses,30,Respiratory Syncytial Virus (RSV) and Human Metapneumovirus (hPMV),0:06:22,
Microbiology,Viruses,31,Measles,0:08:11,
Microbiology,Viruses,32,Mumps,0:04:08,
Microbiology,Viruses,33,Rabies virus,0:08:11,
Microbiology,Viruses,34,Ebola Virus and Marburg Virus,0:07:03,
Microbiology,Viruses,35,Norovirus,0:03:25,
Microbiology,Viruses,36,Hepatitis E Virus,0:02:34,
Microbiology,Viruses,37,Rotavirus and Colorado Tick Fever,0:09:42,
Microbiology,Viruses,38,Poliovirus,0:10:24,
Microbiology,Viruses,39,Echovirus,0:05:09,
Microbiology,Viruses,40,Rhinovirus,0:04:59,
Microbiology,Viruses,41,Coxsackieviruses (A & B),0:04:53,
Microbiology,Viruses,42,Hepatitis A Virus,0:08:59,