Subject,Chapter,Section,Video,Duration,30:37:22
Physiology,General Principles,1,Cell Transport,0:22:10,
Physiology,General Principles,2,Receptors and Signaling Pathways,0:21:09,
Physiology,General Principles,3.1,Part 1 - Sympathetic and Parasympathetic Signaling,0:25:18,
Physiology,General Principles,3.2,Part 2 - Sympathetic and Parasympathetic Signaling,0:09:38,
Physiology,General Principles,4,Action Potentials,0:32:35,
Physiology,Cardiology,1,Introduction to Cardiology,0:12:05,
Physiology,Cardiology,2.1,Part 1 - Equations,0:36:39,
Physiology,Cardiology,2.2,Part 2 - Equations,0:28:12,
Physiology,Cardiology,3.1,Part 1 - Electrophysiology,0:38:05,
Physiology,Cardiology,3.2,Part 2 - Electrophysiology,0:19:22,
Physiology,Cardiology,4,Pressure-Volume Loops,0:53:39,
Physiology,Cardiology,5,Heart Pressures,0:10:17,
Physiology,Cardiology,6,Starling and Cardiac/Vascular Function Curves,0:35:50,
Physiology,Cardiology,7,Pressure Tracings,0:29:41,
Physiology,Cardiology,8,Baroreceptor Reflex & Special Circulations,0:52:33,
Physiology,Cardiology,9.1,Part 1 - Heart Sounds,0:42:03,
Physiology,Cardiology,9.2,Part 2 - Heart Sounds,0:11:38,
Physiology,Pulmonology,1,Pulmonary and Bronchopulmonary Circulation,0:05:50,
Physiology,Pulmonology,2,Spirometry,0:57:23,
Physiology,Pulmonology,3.1,Part 1 - Equations,0:32:53,
Physiology,Pulmonology,3.2,Part 2 - Equations,0:35:05,
Physiology,Pulmonology,4,Breathing Mechanics,0:39:58,
Physiology,Pulmonology,5.1,Part 1 - Gas Exchange,0:32:22,
Physiology,Pulmonology,5.2,Part 2 - Gas Exchange,0:28:41,
Physiology,Pulmonology,6,V/Q Mismatch & Integrated Pulmonology,0:36:26,
Physiology,Nephrology,1,Introduction to Nephrology,0:13:49,
Physiology,Nephrology,2,Equations,0:54:00,
Physiology,Nephrology,3.1,Part 1 - The Nephron,0:49:43,
Physiology,Nephrology,3.2,Part 2 - The Nephron,0:51:56,
Physiology,Nephrology,4,Renin-Angiotensin-Aldosterone System,0:30:22,
Physiology,Nephrology,5.1,Part 1 - Acid-Base,0:54:03,
Physiology,Nephrology,5.2,Part 2 - Acid-Base,0:26:23,
Physiology,Gastroenterology,1,Gastrointestinal Overview,0:23:05,
Physiology,Gastroenterology,2,Exocrine Pancreas and Metabolism,0:26:25,
Physiology,Gastroenterology,3,Liver and Bilirubin Metabolism,0:30:20,
Physiology,Gastroenterology,4,Gallbladder,0:16:09,
Physiology,Gastroenterology,5,Hormones,0:24:32,
Physiology,Gastroenterology,6,Satiety and Hunger,0:05:17,
Physiology,Endocrinology,1,Introduction to Endocrinology,0:14:03,
Physiology,Endocrinology,2,Pituitary Gland,0:28:05,
Physiology,Endocrinology,3,Thyroid Gland,0:30:15,
Physiology,Endocrinology,4,Calcium Homeostasis,0:24:13,
Physiology,Endocrinology,5,Insulin & Glucagon,0:13:19,
Physiology,Endocrinology,6,Diabetes,0:11:53,
Physiology,Endocrinology,7,Adrenal Glands,0:16:28,
Physiology,Endocrinology,8,Congenital Adrenal Hyperplasias,0:17:49,
Physiology,Reproduction,1,Spermatogenesis and Erectile Dysfunction,0:27:04,
Physiology,Reproduction,2,Testosterone and DHT,0:09:56,
Physiology,Reproduction,3,Menstrual Cycle and Oogenesis,0:29:33,
Physiology,Reproduction,4.1,Part 1 - Pregnancy,0:24:53,
Physiology,Reproduction,4.2,Part 2 - Pregnancy,0:09:56,
Physiology,Reproduction,5,Integrated Female Physiology,0:23:24,
Physiology,Neurology,1,Cerebral Hemispheres,0:27:40,
Physiology,Neurology,2.1,Part 1 - Spinal Cord and Spinal Tracts,0:11:46,
Physiology,Neurology,2.2,Part 2 - Spinal Cord and Spinal Tracts,0:34:07,
Physiology,Neurology,3.1,Part 1 - Cranial Nerves,0:29:58,
Physiology,Neurology,3.2,Part 2 - Cranial Nerves,0:16:35,
Physiology,Neurology,4,"Thalamus, Hypothalamus, and Limbic System",0:11:19,
Physiology,Neurology,5,Cerebellum,0:19:19,
Physiology,Neurology,6,Basal Ganglia and Dopaminergic Pathways,0:23:13,
Physiology,Neurology,7,Audiology and the Vestibular System,0:19:21,
Physiology,Neurology,8,Ophthalmology,0:44:50,
Physiology,Neurology,9.1,Part 1 - Neurovasculature,0:24:42,
Physiology,Neurology,9.2,Part 2 - Neurovasculature,0:23:16,
Physiology,Neurology,10,Ventricular System,0:11:23,
Physiology,Neurology,11,Aphasia,0:09:07,
Physiology,Neurology,12,"Dermatomes, Myotomes, and Clinical Reflexes",0:14:13,
Physiology,Musculoskeletal,1,Neurotransmission,0:16:12,
Physiology,Musculoskeletal,2,Muscle Anatomy and Contraction,0:20:14,
Physiology,Musculoskeletal,3,Osteoblasts and Osteoclast,0:14:05,
Physiology,Musculoskeletal,4,Endochondral and Intramembranous Ossification,0:18:28,
Physiology,Musculoskeletal,5,Skin,0:11:07,